Nivel 1;YuliSGX;4;00:00:05
Nivel 2;YuliSGX;8;00:00:07
Nivel 3;YuliSGX;20;00:00:10
Nivel 4;YuliSGX;26;00:00:16
Nivel 5;YuliSGX;35;00:00:19
Nivel 6;YuliSGX;40;00:00:22
Nivel 7;YuliSGX;50;00:00:31
Nivel 8;YuliSGX;55;00:00:42
Nivel 9;YuliSGX;75;00:00:48
Nivel 10;YuliSGX;190;00:00:50
Nivel 11;YuliSGX;223;00:00:58
